Date,Location,AssetType,Category,Month_Actual,Month_Budget,Month_Variance,YTD_Actual,YTD_Budget,YTD_Variance
2023-03-31,Europe,Expenses,Other Expenses,9310.72,9853.00,-542.28,52198.64,59118.00,-6919.36
2023-03-31,Europe,Expenses,Total Operating Expenses,669370.57,574349.00,95021.57,3279104.64,3733396.00,-454291.36
2023-03-31,Europe,Expenses,Net Operating Income/(Loss),572174.68,429321.00,142853.68,2676734.16,2200437.00,476297.16
2023-03-31,Europe,Net,Interest Revenue,18787.30,5122.00,13665.30,82726.27,30732.00,51994.27
2023-03-31,Europe,Net,Non-Operating Inc/(Exp),-8038.51,.00,-8038.51,5427.58,.00,5427.58
2023-03-31,Europe,Net,Net Income/(Loss),582923.47,434443.00,148480.47,2764888.01,2231169.00,533719.01
2023-03-31,Europe,Net,Distributions,582923.47,434443.00,148480.47,2764888.01,2231169.00,533719.01
2023-03-31,Europe,Net,After Distributions,.00,.00,.00,.00,.00,.00
2023-03-31,Korea,Revenue,Gaming Machine Revenue,1841802.55,1831861.00,9941.55,11038942.75,6568944.00,4469998.75
2023-03-31,Korea,Revenue,Total Revenue,1841802.55,1831861.00,9941.55,11038942.75,6568944.00,4469998.75
2023-03-31,Korea,Revenue,Gaming NAFI,381020.15,385177.00,-4156.85,2300620.85,1420758.00,879862.85
2023-03-31,Korea,Revenue,Total Direct Reimbursement,381020.15,385177.00,-4156.85,2300620.85,1420758.00,879862.85
2023-03-31,Korea,Revenue,Net Revenue,1460782.40,1446684.00,14098.40,8738321.90,5148186.00,3590135.90
2023-03-31,Korea,Expenses,Compensation & Benefits,159408.61,204651.00,-45242.39,901115.79,1325798.00,-424682.21
2023-03-31,Korea,Expenses,Depreciation Expense,77723.82,77001.00,722.82,405816.81,462006.00,-56189.19
2023-03-31,Korea,Expenses,Contractor Fees,4064.90,927.00,3137.90,7237.61,5562.00,1675.61
2023-03-31,Korea,Expenses,Communications,6257.49,8328.00,-2070.51,33220.44,49968.00,-16747.56
2023-03-31,Korea,Expenses,TDY,14064.85,206.00,13858.85,40606.78,31111.00,9495.78
2023-03-31,Korea,Expenses,PCS,1333.53,4485.00,-3151.47,21629.36,26910.00,-5280.64
2023-03-31,Korea,Expenses,IT Expense & Maint,5683.10,22690.00,-17006.90,39959.16,136140.00,-96180.84
2023-03-31,Korea,Expenses,Machine Expense & Maint,24950.27,118192.00,-93241.73,43642.05,709152.00,-665509.95
2023-03-31,Korea,Expenses,Vehicle Expense,745.07,604.00,141.07,4402.24,3624.00,778.24
2023-03-31,Korea,Expenses,Training,.00,1302.00,-1302.00,.00,8107.00,-8107.00
2023-03-31,Korea,Expenses,(Gain)/Loss on Disposals,.00,.00,.00,11324.71,.00,11324.71
2023-03-31,Korea,Expenses,Audit-Independent,2091.68,2063.00,28.68,12767.31,12378.00,389.31
2023-03-31,Korea,Expenses,Audit-IMCOM Int Review,1280.36,1108.00,172.36,4321.87,6648.00,-2326.13
2023-03-31,Korea,Expenses,Other Expenses,6346.16,6323.00,23.16,36979.37,37938.00,-958.63
2023-03-31,Korea,Expenses,Total Operating Expenses,303949.84,447880.00,-143930.16,1563023.50,2815342.00,-1252318.50
2023-03-31,Korea,Expenses,Net Operating Income/(Loss),1156832.56,998804.00,158028.56,7175298.40,2332844.00,4842454.40
2023-03-31,Korea,Net,Interest Revenue,27330.31,6953.00,20377.31,117196.10,41718.00,75478.10
2023-03-31,Korea,Net,Non-Operating Inc/(Exp),-41.73,.00,-41.73,-1821.25,.00,-1821.25
2023-03-31,Korea,Net,Net Income/(Loss),1184121.14,1005757.00,178364.14,7290673.25,2374562.00,4916111.25
2023-03-31,Korea,Net,Distributions,1184121.14,1005757.00,178364.14,7290673.25,2374562.00,4916111.25
2023-03-31,Korea,Net,After Distributions,.00,.00,.00,.00,.00,.00
2023-03-31,Japan,Revenue,Gaming Machine Revenue,2348897.00,2272754.00,76143.00,12184109.00,13154445.00,-970336.00
2023-03-31,Japan,Revenue,Total Revenue,2348897.00,2272754.00,76143.00,12184109.00,13154445.00,-970336.00
2023-03-31,Japan,Revenue,Gaming NAFI,1823990.86,1773881.00,50109.86,9562919.81,10267699.00,-704779.19
2023-03-31,Japan,Revenue,Total Direct Reimbursement,1823990.86,1773881.00,50109.86,9562919.81,10267699.00,-704779.19
2023-03-31,Japan,Revenue,Net Revenue,524906.14,498873.00,26033.14,2621189.19,2886746.00,-265556.81
2023-03-31,Japan,Expenses,Compensation & Benefits,301858.35,230047.00,71811.35,1616157.02,1493832.00,122325.02
2023-03-31,Japan,Expenses,Depreciation Expense,111508.17,113955.00,-2446.83,597383.50,683730.00,-86346.50
2023-03-31,Japan,Expenses,Contractor Fees,7640.67,1631.00,6009.67,13443.90,9786.00,3657.90
2023-03-31,Japan,Expenses,Communications,5274.76,7650.00,-2375.24,22556.75,45900.00,-23343.25
2023-03-31,Japan,Expenses,TDY,29406.44,5014.00,24392.44,105605.58,63302.00,42303.58
2023-03-31,Japan,Expenses,PCS,571.75,877.00,-305.25,59617.08,5262.00,54355.08
2023-03-31,Japan,Expenses,IT Expense & Maint,11372.67,38135.00,-26762.33,72128.62,228810.00,-156681.38
2023-03-31,Japan,Expenses,Machine Expense & Maint,45988.43,19418.00,26570.43,63180.06,116508.00,-53327.94
2023-03-31,Japan,Expenses,Vehicle Expense,1285.81,1939.00,-653.19,10342.17,11634.00,-1291.83
2023-03-31,Japan,Expenses,Training,.00,2285.00,-2285.00,.00,13850.00,-13850.00
2023-03-31,Japan,Expenses,(Gain)/Loss on Disposals,77051.68,.00,77051.68,81382.37,.00,81382.37
2023-03-31,Japan,Expenses,Audit-Independent,3931.68,3694.00,237.68,23285.22,22164.00,1121.22
2023-03-31,Japan,Expenses,Audit-IMCOM Int Review,2406.65,1997.00,409.65,7847.92,11982.00,-4134.08
2023-03-31,Japan,Expenses,Other Expenses,9676.84,9848.00,-171.16,53536.09,59088.00,-5551.91
2023-03-31,Japan,Expenses,Total Operating Expenses,607973.90,436490.00,171483.90,2726466.28,2765848.00,-39381.72
2023-03-31,Japan,Expenses,Net Operating Income/(Loss),-83067.76,62383.00,-145450.76,-105277.09,120898.00,-226175.09
2023-03-31,Japan,Net,Interest Revenue,26899.52,7870.00,19029.52,118556.00,47220.00,71336.00
2023-03-31,Japan,Net,Non-Operating Inc/(Exp),-78.44,.00,-78.44,-3281.88,.00,-3281.88
2023-03-31,Japan,Net,Net Income/(Loss),-56246.68,70253.00,-126499.68,9997.03,168118.00,-158120.97
2023-03-31,Japan,Net,Distributions,-56246.68,70253.00,-126499.68,9997.03,168118.00,-158120.97
2023-03-31,Japan,Net,After Distributions,.00,.00,.00,.00,.00,.00
2022-01-31,Consolidated,Revenue,Gaming Machine Revenue,3920265.30,.00,3920265.30,19203251.25,.00,19203251.25
2022-01-31,Consolidated,Revenue,Total Revenue,3920265.30,.00,3920265.30,19203251.25,.00,19203251.25
2022-01-31,Consolidated,Revenue,Gaming NAFI,1880627.75,.00,1880627.75,9014599.61,.00,9014599.61
2022-01-31,Consolidated,Revenue,Total Direct Reimbursement,1880627.75,.00,1880627.75,9014599.61,.00,9014599.61
2022-01-31,Consolidated,Revenue,Net Revenue,2039637.55,.00,2039637.55,10188651.64,.00,10188651.64
2022-01-31,Consolidated,Expenses,Compensation & Benefits,702084.58,.00,702084.58,2819221.67,.00,2819221.67
2022-01-31,Consolidated,Expenses,Depreciation Expense,320796.97,.00,320796.97,1287980.71,.00,1287980.71
2022-01-31,Consolidated,Expenses,Contractor Fees,.00,.00,.00,4345.00,.00,4345.00
2022-01-31,Consolidated,Expenses,Communications,18062.55,.00,18062.55,68663.43,.00,68663.43
2022-01-31,Consolidated,Expenses,TDY,3962.56,.00,3962.56,40756.48,.00,40756.48
2022-01-31,Consolidated,Expenses,PCS,16704.95,.00,16704.95,51579.04,.00,51579.04
2022-01-31,Consolidated,Expenses,IT Expense & Maint,292383.83,.00,292383.83,378963.47,.00,378963.47
2022-01-31,Consolidated,Expenses,Machine Expense & Maint,5467.86,.00,5467.86,75419.33,.00,75419.33
2022-01-31,Consolidated,Expenses,Vehicle Expense,1140.31,.00,1140.31,17443.98,.00,17443.98
2022-01-31,Consolidated,Expenses,Training,4250.00,.00,4250.00,5812.75,.00,5812.75
2022-01-31,Consolidated,Expenses,(Gain)/Loss on Disposals,449.42,.00,449.42,449.42,.00,449.42
2022-01-31,Consolidated,Expenses,Audit-Independent,9251.17,.00,9251.17,37004.64,.00,37004.64
2022-01-31,Consolidated,Expenses,Audit-IMCOM Int Review,5042.51,.00,5042.51,15186.94,.00,15186.94
2022-01-31,Consolidated,Expenses,Other Expenses,24517.48,.00,24517.48,108430.61,.00,108430.61
2022-01-31,Consolidated,Expenses,Total Operating Expenses,1404114.19,.00,1404114.19,4911257.47,.00,4911257.47
2022-01-31,Consolidated,Expenses,Net Operating Income/(Loss),635523.36,.00,635523.36,5277394.17,.00,5277394.17
2022-01-31,Consolidated,Net,Interest Revenue,20181.92,.00,20181.92,82456.06,.00,82456.06
2022-01-31,Consolidated,Net,Non-Operating Inc/(Exp),408.54,.00,408.54,-2498.98,.00,-2498.98
2022-01-31,Consolidated,Net,Net Income/(Loss),656113.82,.00,656113.82,5357351.25,.00,5357351.25
2022-01-31,Consolidated,Net,Distributions,656113.82,.00,656113.82,5033464.15,.00,5033464.15
2022-01-31,Consolidated,Net,After Distributions,.00,.00,.00,323887.10,.00,323887.10
2022-01-31,Europe,Revenue,Gaming Machine Revenue,1023320.15,.00,1023320.15,4844894.40,.00,4844894.40
2022-01-31,Europe,Revenue,Total Revenue,1023320.15,.00,1023320.15,4844894.40,.00,4844894.40
2022-01-31,Europe,Revenue,Gaming NAFI,323136.00,.00,323136.00,1391391.65,.00,1391391.65
2022-01-31,Europe,Revenue,Total Direct Reimbursement,323136.00,.00,323136.00,1391391.65,.00,1391391.65
2022-01-31,Europe,Revenue,Net Revenue,700184.15,.00,700184.15,3453502.75,.00,3453502.75
2022-01-31,Europe,Expenses,Compensation & Benefits,312087.47,.00,312087.47,1227399.12,.00,1227399.12
2022-01-31,Europe,Expenses,Depreciation Expense,120394.52,.00,120394.52,483314.76,.00,483314.76
2022-01-31,Europe,Expenses,Contractor Fees,.00,.00,.00,1582.47,.00,1582.47
2022-01-31,Europe,Expenses,Communications,9414.22,.00,9414.22,35027.71,.00,35027.71
2022-01-31,Europe,Expenses,TDY,3777.16,.00,3777.16,38864.76,.00,38864.76
2022-01-31,Europe,Expenses,PCS,11754.03,.00,11754.03,36808.86,.00,36808.86
2022-01-31,Europe,Expenses,IT Expense & Maint,111649.55,.00,111649.55,144789.20,.00,144789.20
2022-01-31,Europe,Expenses,Machine Expense & Maint,1821.35,.00,1821.35,14019.89,.00,14019.89
2022-01-31,Europe,Expenses,Vehicle Expense,95.33,.00,95.33,10648.84,.00,10648.84
2022-01-31,Europe,Expenses,Training,1623.36,.00,1623.36,2192.51,.00,2192.51
2022-01-31,Europe,Expenses,(Gain)/Loss on Disposals,449.42,.00,449.42,449.42,.00,449.42
2022-01-31,Europe,Expenses,Audit-Independent,3533.60,.00,3533.60,13641.57,.00,13641.57
2022-01-31,Europe,Expenses,Audit-IMCOM Int Review,1926.04,.00,1926.04,5620.68,.00,5620.68
2022-01-31,Europe,Expenses,Other Expenses,9895.49,.00,9895.49,42414.47,.00,42414.47
2022-01-31,Europe,Expenses,Total Operating Expenses,588421.54,.00,588421.54,2056774.26,.00,2056774.26
2022-01-31,Europe,Expenses,Net Operating Income/(Loss),111762.61,.00,111762.61,1396728.49,.00,1396728.49
2022-01-31,Europe,Net,Interest Revenue,5071.71,.00,5071.71,20708.73,.00,20708.73
2022-01-31,Europe,Net,Non-Operating Inc/(Exp),408.54,.00,408.54,-2472.92,.00,-2472.92
2022-01-31,Europe,Net,Net Income/(Loss),117242.86,.00,117242.86,1414964.30,.00,1414964.30
2022-01-31,Europe,Net,Distributions,117242.86,.00,117242.86,1292707.54,.00,1292707.54
2022-01-31,Europe,Net,After Distributions,.00,.00,.00,122256.76,.00,122256.76
2022-01-31,Korea,Revenue,Gaming Machine Revenue,1326346.90,.00,1326346.90,6520651.25,.00,6520651.25
2022-01-31,Korea,Revenue,Total Revenue,1326346.90,.00,1326346.90,6520651.25,.00,6520651.25
2022-01-31,Korea,Revenue,Gaming NAFI,302923.55,.00,302923.55,1428151.36,.00,1428151.36
2022-01-31,Korea,Revenue,Total Direct Reimbursement,302923.55,.00,302923.55,1428151.36,.00,1428151.36
2022-01-31,Korea,Revenue,Net Revenue,1023423.35,.00,1023423.35,5092499.89,.00,5092499.89
2022-01-31,Korea,Expenses,Compensation & Benefits,145282.14,.00,145282.14,580288.69,.00,580288.69
2022-01-31,Korea,Expenses,Depreciation Expense,80825.04,.00,80825.04,323955.39,.00,323955.39
2022-01-31,Korea,Expenses,Contractor Fees,.00,.00,.00,963.05,.00,963.05
2022-01-31,Korea,Expenses,Communications,6329.56,.00,6329.56,22448.62,.00,22448.62
2022-01-31,Korea,Expenses,TDY,67.96,.00,67.96,553.85,.00,553.85
2022-01-31,Korea,Expenses,PCS,.04,.00,.04,5594.03,.00,5594.03
2022-01-31,Korea,Expenses,IT Expense & Maint,66252.57,.00,66252.57,88014.91,.00,88014.91
2022-01-31,Korea,Expenses,Machine Expense & Maint,154.27,.00,154.27,19141.36,.00,19141.36
2022-01-31,Korea,Expenses,Vehicle Expense,375.83,.00,375.83,1812.15,.00,1812.15
2022-01-31,Korea,Expenses,Training,962.73,.00,962.73,1309.10,.00,1309.10
2022-01-31,Korea,Expenses,(Gain)/Loss on Disposals,.00,.00,.00,.00,.00,.00
2022-01-31,Korea,Expenses,Audit-Independent,2095.61,.00,2095.61,8246.99,.00,8246.99
2022-01-31,Korea,Expenses,Audit-IMCOM Int Review,1142.25,.00,1142.25,3390.71,.00,3390.71
2022-01-31,Korea,Expenses,Other Expenses,5892.69,.00,5892.69,26533.56,.00,26533.56
2022-01-31,Korea,Expenses,Total Operating Expenses,309380.69,.00,309380.69,1082252.41,.00,1082252.41
2022-01-31,Korea,Expenses,Net Operating Income/(Loss),714042.66,.00,714042.66,4010247.48,.00,4010247.48
2022-01-31,Korea,Net,Interest Revenue,6916.34,.00,6916.34,29129.55,.00,29129.55
2022-01-31,Korea,Net,Non-Operating Inc/(Exp),.00,.00,.00,-9.08,.00,-9.08
2022-01-31,Korea,Net,Net Income/(Loss),720959.00,.00,720959.00,4039367.95,.00,4039367.95
2022-01-31,Korea,Net,Distributions,720959.00,.00,720959.00,3958251.63,.00,3958251.63
2022-01-31,Korea,Net,After Distributions,.00,.00,.00,81116.32,.00,81116.32
2022-01-31,Japan,Revenue,Gaming Machine Revenue,1570598.25,.00,1570598.25,7837705.60,.00,7837705.60
2022-01-31,Japan,Revenue,Total Revenue,1570598.25,.00,1570598.25,7837705.60,.00,7837705.60
2022-01-31,Japan,Revenue,Gaming NAFI,1254568.20,.00,1254568.20,6195056.60,.00,6195056.60
2022-01-31,Japan,Revenue,Total Direct Reimbursement,1254568.20,.00,1254568.20,6195056.60,.00,6195056.60
2022-01-31,Japan,Revenue,Net Revenue,316030.05,.00,316030.05,1642649.00,.00,1642649.00
2022-01-31,Japan,Expenses,Compensation & Benefits,244714.97,.00,244714.97,1011533.86,.00,1011533.86
2022-01-31,Japan,Expenses,Depreciation Expense,119577.41,.00,119577.41,480710.56,.00,480710.56
2022-01-31,Japan,Expenses,Contractor Fees,.00,.00,.00,1799.48,.00,1799.48
2022-01-31,Japan,Expenses,Communications,2318.77,.00,2318.77,11187.10,.00,11187.10
2022-01-31,Japan,Expenses,TDY,117.44,.00,117.44,1337.87,.00,1337.87
2022-01-31,Japan,Expenses,PCS,4950.88,.00,4950.88,9176.15,.00,9176.15
2022-01-31,Japan,Expenses,IT Expense & Maint,114481.71,.00,114481.71,146159.36,.00,146159.36
2022-01-31,Japan,Expenses,Machine Expense & Maint,3492.24,.00,3492.24,42258.08,.00,42258.08
2022-01-31,Japan,Expenses,Vehicle Expense,669.15,.00,669.15,4982.99,.00,4982.99
2022-01-31,Japan,Expenses,Training,1663.91,.00,1663.91,2311.14,.00,2311.14
2022-01-31,Japan,Expenses,(Gain)/Loss on Disposals,.00,.00,.00,.00,.00,.00
2022-01-31,Japan,Expenses,Audit-Independent,3621.96,.00,3621.96,15116.08,.00,15116.08
2022-01-31,Japan,Expenses,Audit-IMCOM Int Review,1974.22,.00,1974.22,6175.55,.00,6175.55
2022-01-31,Japan,Expenses,Other Expenses,8729.30,.00,8729.30,39482.58,.00,39482.58
2022-01-31,Japan,Expenses,Total Operating Expenses,506311.96,.00,506311.96,1772230.80,.00,1772230.80
2022-01-31,Japan,Expenses,Net Operating Income/(Loss),-190281.91,.00,-190281.91,-129581.80,.00,-129581.80
2022-01-31,Japan,Net,Interest Revenue,8193.87,.00,8193.87,32617.78,.00,32617.78
2022-01-31,Japan,Net,Non-Operating Inc/(Exp),.00,.00,.00,-16.98,.00,-16.98
2022-01-31,Japan,Net,Net Income/(Loss),-182088.04,.00,-182088.04,-96981.00,.00,-96981.00
2022-01-31,Japan,Net,Distributions,-182088.04,.00,-182088.04,-217495.02,.00,-217495.02
2022-01-31,Japan,Net,After Distributions,.00,.00,.00,120514.02,.00,120514.02
2023-01-31,Consolidated,Revenue,Gaming Machine Revenue,5606764.25,4593617.00,1013147.25,20552949.45,17485842.00,3067107.45
2023-01-31,Consolidated,Revenue,Total Revenue,5606764.25,4593617.00,1013147.25,20552949.45,17485842.00,3067107.45
2023-01-31,Consolidated,Revenue,Gaming NAFI,2477852.55,2361761.00,116091.55,9130069.65,9042366.00,87703.65
2023-01-31,Consolidated,Revenue,Total Direct Reimbursement,2477852.55,2361761.00,116091.55,9130069.65,9042366.00,87703.65
2023-01-31,Consolidated,Revenue,Net Revenue,3128911.70,2231856.00,897055.70,11422879.80,8443476.00,2979403.80
2023-01-31,Consolidated,Expenses,Compensation & Benefits,736660.67,1158330.00,-421669.33,2802955.11,3476811.00,-673855.89
2023-01-31,Consolidated,Expenses,Depreciation Expense,315090.98,307727.00,7363.98,1097047.11,1230908.00,-133860.89
2023-01-31,Consolidated,Expenses,Contractor Fees,2637.50,4144.00,-1506.50,9275.00,16576.00,-7301.00
2023-01-31,Consolidated,Expenses,Communications,19963.14,26065.00,-6101.86,72012.53,104260.00,-32247.47
2023-01-31,Consolidated,Expenses,TDY,25847.81,54567.00,-28719.19,90941.81,208759.00,-117817.19
2023-01-31,Consolidated,Expenses,PCS,2072.46,10198.00,-8125.54,97904.95,40792.00,57112.95
2023-01-31,Consolidated,Expenses,IT Expense & Maint,25853.13,98437.00,-72583.87,113377.11,393748.00,-280370.89
2023-01-31,Consolidated,Expenses,Machine Expense & Maint,7950.03,160740.00,-152789.97,177402.77,642960.00,-465557.23
2023-01-31,Consolidated,Expenses,Vehicle Expense,4150.85,6003.00,-1852.15,24364.86,20552.00,3812.86
2023-01-31,Consolidated,Expenses,Training,.00,4500.00,-4500.00,.00,23500.00,-23500.00
2023-01-31,Consolidated,Expenses,(Gain)/Loss on Disposals,5521.53,.00,5521.53,7993.21,.00,7993.21
2023-01-31,Consolidated,Expenses,Audit-Independent,9834.50,9251.00,583.50,39338.00,37004.00,2334.00
2023-01-31,Consolidated,Expenses,Audit-IMCOM Int Review,2498.30,4956.00,-2457.70,13905.45,19824.00,-5918.55
2023-01-31,Consolidated,Expenses,Other Expenses,18768.32,26024.00,-7255.68,92691.24,104096.00,-11404.76
2023-01-31,Consolidated,Expenses,Total Operating Expenses,1176849.22,1870942.00,-694092.78,4639209.15,6319790.00,-1680580.85
2023-01-31,Consolidated,Expenses,Net Operating Income/(Loss),1952062.48,360914.00,1591148.48,6783670.65,2123686.00,4659984.65
2023-01-31,Consolidated,Net,Interest Revenue,57350.62,19945.00,37405.62,196956.72,79780.00,117176.72
2023-01-31,Consolidated,Net,Non-Operating Inc/(Exp),4215.85,.00,4215.85,2006.54,.00,2006.54
2023-01-31,Consolidated,Net,Net Income/(Loss),2013628.95,380859.00,1632769.95,6982633.91,2203466.00,4779167.91
2023-01-31,Consolidated,Net,Distributions,2013628.95,380859.00,1632769.95,6982633.91,2203466.00,4779167.91
2023-01-31,Consolidated,Net,After Distributions,.00,.00,.00,.00,.00,.00
2023-01-31,Europe,Revenue,Gaming Machine Revenue,1461511.50,1415360.00,46151.50,5306507.15,5475218.00,-168710.85
2023-01-31,Europe,Revenue,Total Revenue,1461511.50,1415360.00,46151.50,5306507.15,5475218.00,-168710.85
2023-01-31,Europe,Revenue,Gaming NAFI,407730.70,404696.00,3034.70,1520807.40,1549163.00,-28355.60
2023-01-31,Europe,Revenue,Total Direct Reimbursement,407730.70,404696.00,3034.70,1520807.40,1549163.00,-28355.60
2023-01-31,Europe,Revenue,Net Revenue,1053780.80,1010664.00,43116.80,3785699.75,3926055.00,-140355.25
2023-01-31,Europe,Expenses,Compensation & Benefits,305194.92,506282.00,-201087.08,1167558.65,1526577.00,-359018.35
2023-01-31,Europe,Expenses,Depreciation Expense,140724.40,116771.00,23953.40,463935.74,467084.00,-3148.26
2023-01-31,Europe,Expenses,Contractor Fees,1022.11,1586.00,-563.89,3614.07,6344.00,-2729.93
2023-01-31,Europe,Expenses,Communications,9517.82,10087.00,-569.18,34326.52,40348.00,-6021.48
2023-01-31,Europe,Expenses,TDY,16407.09,39615.00,-23207.91,40421.66,153859.00,-113437.34
2023-01-31,Europe,Expenses,PCS,30.80,4836.00,-4805.20,12548.05,19344.00,-6795.95
2023-01-31,Europe,Expenses,IT Expense & Maint,9979.24,37612.00,-27632.76,44400.29,150448.00,-106047.71
2023-01-31,Europe,Expenses,Machine Expense & Maint,4805.25,23130.00,-18324.75,151258.46,92520.00,58738.46
2023-01-31,Europe,Expenses,Vehicle Expense,3180.73,3460.00,-279.27,14641.71,10380.00,4261.71
2023-01-31,Europe,Expenses,Training,.00,2707.00,-2707.00,.00,14038.00,-14038.00
2023-01-31,Europe,Expenses,(Gain)/Loss on Disposals,.00,.00,.00,.00,.00,.00
2023-01-31,Europe,Expenses,Audit-Independent,3811.14,3494.00,317.14,15332.19,13976.00,1356.19
2023-01-31,Europe,Expenses,Audit-IMCOM Int Review,968.17,1851.00,-882.83,5422.67,7404.00,-1981.33
2023-01-31,Europe,Expenses,Other Expenses,5254.42,9853.00,-4598.58,33687.82,39412.00,-5724.18
2023-01-31,Europe,Expenses,Total Operating Expenses,500896.09,761284.00,-260387.91,1987147.83,2541734.00,-554586.17
2023-01-31,Europe,Expenses,Net Operating Income/(Loss),552884.71,249380.00,303504.71,1798551.92,1384321.00,414230.92
