Date,Location,AssetType,Category,ARMP,Army,Navy,USMC,MonthCount
2023-03-31,Korea,Expenses,TDY,14064.85,13015.76,1049.09,.00,1
2023-03-31,Korea,Expenses,PCS,1333.53,1323.76,9.77,.00,1
2023-03-31,Korea,Expenses,IT Expense & Maint,5683.10,5517.91,165.19,.00,1
2023-03-31,Korea,Expenses,Machine Expense & Maint,24950.27,24287.91,662.36,.00,1
2023-03-31,Korea,Expenses,Vehicle Expense,745.07,742.62,2.45,.00,1
2023-03-31,Korea,Expenses,Training,.00,.00,.00,.00,1
2023-03-31,Korea,Expenses,(Gain)/Loss on Disposals,.00,.00,.00,.00,1
2023-03-31,Korea,Expenses,Audit-Independent,2091.68,2034.01,57.67,.00,1
2023-03-31,Korea,Expenses,Audit-IMCOM Int Review,1280.36,1245.06,35.30,.00,1
2023-03-31,Korea,Expenses,Other Expenses,6346.16,6329.48,16.68,.00,1
2023-03-31,Korea,Expenses,Total Operating Expenses,303949.84,296672.06,7277.78,.00,1
2023-03-31,Korea,Expenses,Net Operating Income/(Loss),1156832.56,1159802.29,-2969.73,.00,1
2023-03-31,Korea,Net,Interest Revenue,27330.31,27009.40,320.91,.00,1
2023-03-31,Korea,Net,Non-Operating Inc/(Exp),-41.73,-40.58,-1.15,.00,1
2023-03-31,Korea,Net,Net Income/(Loss),1184121.14,1186771.11,-2649.97,.00,1
2023-03-31,Korea,Net,Distributions,1184121.14,1186771.11,-2649.97,.00,1
2023-03-31,Korea,Net,After Distributions,.00,.00,.00,.00,1
2023-03-31,Consolidated,Revenue,Gaming Machine Revenue,31638455.25,18378685.10,6605045.45,6654724.70,6
2023-03-31,Consolidated,Revenue,Total Revenue,31638455.25,18378685.10,6605045.45,6654724.70,6
2023-03-31,Consolidated,Revenue,Gaming NAFI,14323105.36,3684846.35,5299979.80,5338279.21,6
2023-03-31,Consolidated,Revenue,Total Direct Reimbursement,14323105.36,3684846.35,5299979.80,5338279.21,6
2023-03-31,Consolidated,Revenue,Net Revenue,17315349.89,14693838.75,1305065.65,1316445.49,6
2023-03-31,Consolidated,Expenses,Compensation & Benefits,4308932.05,2479581.31,998250.99,831099.75,6
2023-03-31,Consolidated,Expenses,Depreciation Expense,1729965.76,1068577.36,331898.08,329490.32,6
2023-03-31,Consolidated,Expenses,Contractor Fees,33799.50,18431.07,8595.53,6772.90,6
2023-03-31,Consolidated,Expenses,Communications,108531.26,87654.41,11533.48,9343.37,6
2023-03-31,Consolidated,Expenses,TDY,256980.36,126948.47,90457.28,39574.61,6
2023-03-31,Consolidated,Expenses,PCS,93794.49,29074.81,20561.27,44158.41,6
2023-03-31,Consolidated,Expenses,IT Expense & Maint,181898.53,98716.33,47238.62,35943.58,6
2023-03-31,Consolidated,Expenses,Machine Expense & Maint,439126.52,363689.39,40912.33,34524.80,6
2023-03-31,Consolidated,Expenses,Vehicle Expense,43982.37,32081.30,5428.78,6472.29,6
2023-03-31,Consolidated,Expenses,Training,.00,.00,.00,.00,6
2023-03-31,Consolidated,Expenses,(Gain)/Loss on Disposals,149937.12,83394.22,46225.77,20317.13,6
2023-03-31,Consolidated,Expenses,Audit-Independent,59007.00,32419.65,14912.94,11674.41,6
2023-03-31,Consolidated,Expenses,Audit-IMCOM Int Review,19925.36,10967.00,5028.25,3930.11,6
2023-03-31,Consolidated,Expenses,Other Expenses,142714.10,84307.23,26813.67,31593.20,6
2023-03-31,Consolidated,Expenses,Total Operating Expenses,7568594.42,4515842.55,1647856.99,1404894.88,6
2023-03-31,Consolidated,Expenses,Net Operating Income/(Loss),9746755.47,10177996.20,-342791.34,-88449.39,6
2023-03-31,Consolidated,Net,Interest Revenue,318478.37,191472.53,62889.79,64116.05,6
2023-03-31,Consolidated,Net,Non-Operating Inc/(Exp),324.45,2520.85,-556.27,-1640.13,6
2023-03-31,Consolidated,Net,Net Income/(Loss),10065558.29,10371989.58,-280457.82,-25973.47,6
2023-03-31,Consolidated,Net,Distributions,10065558.29,10371989.58,-280457.82,-25973.47,6
2023-03-31,Consolidated,Net,After Distributions,.00,.00,.00,.00,6
2023-03-31,Europe,Revenue,Gaming Machine Revenue,8415403.50,6868584.10,1546819.40,.00,6
2023-03-31,Europe,Revenue,Total Revenue,8415403.50,6868584.10,1546819.40,.00,6
2023-03-31,Europe,Revenue,Gaming NAFI,2459564.70,1369913.15,1089651.55,.00,6
2023-03-31,Europe,Revenue,Total Direct Reimbursement,2459564.70,1369913.15,1089651.55,.00,6
2023-03-31,Europe,Revenue,Net Revenue,5955838.80,5498670.95,457167.85,.00,6
2023-03-31,Europe,Expenses,Compensation & Benefits,1791659.24,1386181.27,405477.97,.00,6
2023-03-31,Europe,Expenses,Depreciation Expense,726765.45,605789.14,120976.31,.00,6
2023-03-31,Europe,Expenses,Contractor Fees,13117.99,10096.64,3021.35,.00,6
2023-03-31,Europe,Expenses,Communications,52754.07,49129.37,3624.70,.00,6
2023-03-31,Europe,Expenses,TDY,110768.00,79739.15,31028.85,.00,6
2023-03-31,Europe,Expenses,PCS,12548.05,4903.75,7644.30,.00,6
2023-03-31,Europe,Expenses,IT Expense & Maint,69810.75,52736.39,17074.36,.00,6
2023-03-31,Europe,Expenses,Machine Expense & Maint,332304.41,313235.64,19068.77,.00,6
2023-03-31,Europe,Expenses,Vehicle Expense,29237.96,25153.30,4084.66,.00,6
2023-03-31,Europe,Expenses,Training,.00,.00,.00,.00,6
2023-03-31,Europe,Expenses,(Gain)/Loss on Disposals,57230.04,31807.83,25422.21,.00,6
2023-03-31,Europe,Expenses,Audit-Independent,22954.47,17743.32,5211.15,.00,6
2023-03-31,Europe,Expenses,Audit-IMCOM Int Review,7755.57,6000.99,1754.58,.00,6
2023-03-31,Europe,Expenses,Other Expenses,52198.64,40016.74,12181.90,.00,6
2023-03-31,Europe,Expenses,Total Operating Expenses,3279104.64,2622533.53,656571.11,.00,6
2023-03-31,Europe,Expenses,Net Operating Income/(Loss),2676734.16,2876137.42,-199403.26,.00,6
2023-03-31,Europe,Net,Interest Revenue,82726.27,67942.61,14783.66,.00,6
2023-03-31,Europe,Net,Non-Operating Inc/(Exp),5427.58,4612.02,815.56,.00,6
2023-03-31,Europe,Net,Net Income/(Loss),2764888.01,2948692.05,-183804.04,.00,6
2023-03-31,Europe,Net,Distributions,2764888.01,2948692.05,-183804.04,.00,6
2023-03-31,Europe,Net,After Distributions,.00,.00,.00,.00,6
2023-03-31,Korea,Revenue,Gaming Machine Revenue,11038942.75,10872934.10,166008.65,.00,6
2023-03-31,Korea,Revenue,Total Revenue,11038942.75,10872934.10,166008.65,.00,6
2023-03-31,Korea,Revenue,Gaming NAFI,2300620.85,2184414.80,116206.05,.00,6
2023-03-31,Korea,Revenue,Total Direct Reimbursement,2300620.85,2184414.80,116206.05,.00,6
2023-03-31,Korea,Revenue,Net Revenue,8738321.90,8688519.30,49802.60,.00,6
2023-03-31,Korea,Expenses,Compensation & Benefits,901115.79,885603.27,15512.52,.00,6
2023-03-31,Korea,Expenses,Depreciation Expense,405816.81,402528.11,3288.70,.00,6
2023-03-31,Korea,Expenses,Contractor Fees,7237.61,7039.80,197.81,.00,6
2023-03-31,Korea,Expenses,Communications,33220.44,33089.07,131.37,.00,6
2023-03-31,Korea,Expenses,TDY,40606.78,38895.15,1711.63,.00,6
2023-03-31,Korea,Expenses,PCS,21629.36,21171.02,458.34,.00,6
2023-03-31,Korea,Expenses,IT Expense & Maint,39959.16,38906.23,1052.93,.00,6
2023-03-31,Korea,Expenses,Machine Expense & Maint,43642.05,42943.58,698.47,.00,6
2023-03-31,Korea,Expenses,Vehicle Expense,4402.24,4388.16,14.08,.00,6
2023-03-31,Korea,Expenses,Training,.00,.00,.00,.00,6
2023-03-31,Korea,Expenses,(Gain)/Loss on Disposals,11324.71,11324.71,.00,.00,6
2023-03-31,Korea,Expenses,Audit-Independent,12767.31,12423.03,344.28,.00,6
2023-03-31,Korea,Expenses,Audit-IMCOM Int Review,4321.87,4205.70,116.17,.00,6
2023-03-31,Korea,Expenses,Other Expenses,36979.37,36706.96,272.41,.00,6
2023-03-31,Korea,Expenses,Total Operating Expenses,1563023.50,1539224.79,23798.71,.00,6
2023-03-31,Korea,Expenses,Net Operating Income/(Loss),7175298.40,7149294.51,26003.89,.00,6
2023-03-31,Korea,Net,Interest Revenue,117196.10,115640.04,1556.06,.00,6
2023-03-31,Korea,Net,Non-Operating Inc/(Exp),-1821.25,-1772.56,-48.69,.00,6
2023-03-31,Korea,Net,Net Income/(Loss),7290673.25,7263161.99,27511.26,.00,6
2023-03-31,Korea,Net,Distributions,7290673.25,7263161.99,27511.26,.00,6
2023-03-31,Korea,Net,After Distributions,.00,.00,.00,.00,6
2023-03-31,Japan,Revenue,Gaming Machine Revenue,12184109.00,637166.90,4892217.40,6654724.70,6
2023-03-31,Japan,Revenue,Total Revenue,12184109.00,637166.90,4892217.40,6654724.70,6
2023-03-31,Japan,Revenue,Gaming NAFI,9562919.81,130518.40,4094122.20,5338279.21,6
2023-03-31,Japan,Revenue,Total Direct Reimbursement,9562919.81,130518.40,4094122.20,5338279.21,6
2023-03-31,Japan,Revenue,Net Revenue,2621189.19,506648.50,798095.20,1316445.49,6
2023-03-31,Japan,Expenses,Compensation & Benefits,1616157.02,207796.77,577260.50,831099.75,6
2023-03-31,Japan,Expenses,Depreciation Expense,597383.50,60260.11,207633.07,329490.32,6
2023-03-31,Japan,Expenses,Contractor Fees,13443.90,1294.63,5376.37,6772.90,6
2023-03-31,Japan,Expenses,Communications,22556.75,5435.97,7777.41,9343.37,6
2023-03-31,Japan,Expenses,TDY,105605.58,8314.17,57716.80,39574.61,6
2023-03-31,Japan,Expenses,PCS,59617.08,3000.04,12458.63,44158.41,6
2023-03-31,Japan,Expenses,IT Expense & Maint,72128.62,7073.71,29111.33,35943.58,6
2023-03-31,Japan,Expenses,Machine Expense & Maint,63180.06,7510.17,21145.09,34524.80,6
2023-03-31,Japan,Expenses,Vehicle Expense,10342.17,2539.84,1330.04,6472.29,6
2023-03-31,Japan,Expenses,Training,.00,.00,.00,.00,6
2023-03-31,Japan,Expenses,(Gain)/Loss on Disposals,81382.37,40261.68,20803.56,20317.13,6
2023-03-31,Japan,Expenses,Audit-Independent,23285.22,2253.30,9357.51,11674.41,6
2023-03-31,Japan,Expenses,Audit-IMCOM Int Review,7847.92,760.31,3157.50,3930.11,6
2023-03-31,Japan,Expenses,Other Expenses,53536.09,7583.53,14359.36,31593.20,6
2023-03-31,Japan,Expenses,Total Operating Expenses,2726466.28,354084.23,967487.17,1404894.88,6
2023-03-31,Japan,Expenses,Net Operating Income/(Loss),-105277.09,152564.27,-169391.97,-88449.39,6
2023-03-31,Japan,Net,Interest Revenue,118556.00,7889.88,46550.07,64116.05,6
2023-03-31,Japan,Net,Non-Operating Inc/(Exp),-3281.88,-318.61,-1323.14,-1640.13,6
2023-03-31,Japan,Net,Net Income/(Loss),9997.03,160135.54,-124165.04,-25973.47,6
2023-03-31,Japan,Net,Distributions,9997.03,160135.54,-124165.04,-25973.47,6
2023-03-31,Japan,Net,After Distributions,.00,.00,.00,.00,6
2022-01-31,Consolidated,Revenue,Gaming Machine Revenue,3920265.30,2316394.45,796027.10,807843.75,1
2022-01-31,Consolidated,Revenue,Total Revenue,3920265.30,2316394.45,796027.10,807843.75,1
2022-01-31,Consolidated,Revenue,Gaming NAFI,1880627.75,498770.65,720840.40,661016.70,1
2022-01-31,Consolidated,Revenue,Total Direct Reimbursement,1880627.75,498770.65,720840.40,661016.70,1
2022-01-31,Consolidated,Revenue,Net Revenue,2039637.55,1817623.80,75186.70,146827.05,1
2022-01-31,Consolidated,Expenses,Compensation & Benefits,702084.58,416401.63,159037.31,126645.64,1
2022-01-31,Consolidated,Expenses,Depreciation Expense,320796.97,189759.75,69542.18,61495.04,1
2022-01-31,Consolidated,Expenses,Contractor Fees,.00,.00,.00,.00,1
2022-01-31,Consolidated,Expenses,Communications,18062.55,15909.41,1215.81,937.33,1
2022-01-31,Consolidated,Expenses,TDY,3962.56,3680.05,221.89,60.62,1
2022-01-31,Consolidated,Expenses,PCS,16704.95,.04,16704.90,.01,1
2022-01-31,Consolidated,Expenses,IT Expense & Maint,292383.83,164107.76,69296.39,58979.68,1
2022-01-31,Consolidated,Expenses,Machine Expense & Maint,5467.86,2854.59,1440.63,1172.64,1
2022-01-31,Consolidated,Expenses,Vehicle Expense,1140.31,-1860.30,2613.70,386.91,1
2022-01-31,Consolidated,Expenses,Training,4250.00,2385.42,1005.57,859.01,1
2022-01-31,Consolidated,Expenses,(Gain)/Loss on Disposals,449.42,449.42,.00,.00,1
2022-01-31,Consolidated,Expenses,Audit-Independent,9251.17,5192.40,2188.89,1869.88,1
2022-01-31,Consolidated,Expenses,Audit-IMCOM Int Review,5042.51,2830.20,1193.10,1019.21,1
2022-01-31,Consolidated,Expenses,Other Expenses,24517.48,14027.44,5586.90,4903.14,1
2022-01-31,Consolidated,Expenses,Total Operating Expenses,1404114.19,815737.81,330047.27,258329.11,1
2022-01-31,Consolidated,Expenses,Net Operating Income/(Loss),635523.36,1001885.99,-254860.57,-111502.06,1
2022-01-31,Consolidated,Net,Interest Revenue,20181.92,11415.36,4474.18,4292.38,1
2022-01-31,Consolidated,Net,Non-Operating Inc/(Exp),408.54,347.95,60.59,.00,1
2022-01-31,Consolidated,Net,Net Income/(Loss),656113.82,1013649.30,-250325.80,-107209.68,1
2022-01-31,Consolidated,Net,Distributions,656113.82,1013649.30,-250325.80,-107209.68,1
2022-01-31,Consolidated,Net,After Distributions,.00,.00,.00,.00,1
2022-01-31,Europe,Revenue,Gaming Machine Revenue,1023320.15,912220.80,111099.35,.00,1
2022-01-31,Europe,Revenue,Total Revenue,1023320.15,912220.80,111099.35,.00,1
2022-01-31,Europe,Revenue,Gaming NAFI,323136.00,198490.20,124645.80,.00,1
2022-01-31,Europe,Revenue,Total Direct Reimbursement,323136.00,198490.20,124645.80,.00,1
2022-01-31,Europe,Revenue,Net Revenue,700184.15,713730.60,-13546.45,.00,1
2022-01-31,Europe,Expenses,Compensation & Benefits,312087.47,254654.30,57433.17,.00,1
2022-01-31,Europe,Expenses,Depreciation Expense,120394.52,96608.84,23785.68,.00,1
2022-01-31,Europe,Expenses,Contractor Fees,.00,.00,.00,.00,1
2022-01-31,Europe,Expenses,Communications,9414.22,8962.04,452.18,.00,1
2022-01-31,Europe,Expenses,TDY,3777.16,3603.34,173.82,.00,1
2022-01-31,Europe,Expenses,PCS,11754.03,.00,11754.03,.00,1
2022-01-31,Europe,Expenses,IT Expense & Maint,111649.55,89473.83,22175.72,.00,1
2022-01-31,Europe,Expenses,Machine Expense & Maint,1821.35,1567.13,254.22,.00,1
2022-01-31,Europe,Expenses,Vehicle Expense,95.33,-2270.02,2365.35,.00,1
2022-01-31,Europe,Expenses,Training,1623.36,1298.68,324.68,.00,1
2022-01-31,Europe,Expenses,(Gain)/Loss on Disposals,449.42,449.42,.00,.00,1
2022-01-31,Europe,Expenses,Audit-Independent,3533.60,2826.87,706.73,.00,1
2022-01-31,Europe,Expenses,Audit-IMCOM Int Review,1926.04,1540.83,385.21,.00,1
2022-01-31,Europe,Expenses,Other Expenses,9895.49,7553.37,2342.12,.00,1
2022-01-31,Europe,Expenses,Total Operating Expenses,588421.54,466268.63,122152.91,.00,1
2022-01-31,Europe,Expenses,Net Operating Income/(Loss),111762.61,247461.97,-135699.36,.00,1
2022-01-31,Europe,Net,Interest Revenue,5071.71,4319.48,752.23,.00,1
2022-01-31,Europe,Net,Non-Operating Inc/(Exp),408.54,347.95,60.59,.00,1
2022-01-31,Europe,Net,Net Income/(Loss),117242.86,252129.40,-134886.54,.00,1
2022-01-31,Europe,Net,Distributions,117242.86,252129.40,-134886.54,.00,1
2022-01-31,Europe,Net,After Distributions,.00,.00,.00,.00,1
2022-01-31,Korea,Revenue,Gaming Machine Revenue,1326346.90,1291879.20,34467.70,.00,1
2022-01-31,Korea,Revenue,Total Revenue,1326346.90,1291879.20,34467.70,.00,1
2022-01-31,Korea,Revenue,Gaming NAFI,302923.55,278796.15,24127.40,.00,1
2022-01-31,Korea,Revenue,Total Direct Reimbursement,302923.55,278796.15,24127.40,.00,1
2022-01-31,Korea,Revenue,Net Revenue,1023423.35,1013083.05,10340.30,.00,1
2022-01-31,Korea,Expenses,Compensation & Benefits,145282.14,141918.88,3363.26,.00,1
2022-01-31,Korea,Expenses,Depreciation Expense,80825.04,79957.23,867.81,.00,1
2022-01-31,Korea,Expenses,Contractor Fees,.00,.00,.00,.00,1
2022-01-31,Korea,Expenses,Communications,6329.56,6286.24,43.32,.00,1
2022-01-31,Korea,Expenses,TDY,67.96,66.21,1.75,.00,1
2022-01-31,Korea,Expenses,PCS,.04,.04,.00,.00,1
2022-01-31,Korea,Expenses,IT Expense & Maint,66252.57,64485.64,1766.93,.00,1
2022-01-31,Korea,Expenses,Machine Expense & Maint,154.27,147.81,6.46,.00,1
2022-01-31,Korea,Expenses,Vehicle Expense,375.83,362.09,13.74,.00,1
2022-01-31,Korea,Expenses,Training,962.73,937.93,24.80,.00,1
2022-01-31,Korea,Expenses,(Gain)/Loss on Disposals,.00,.00,.00,.00,1
2022-01-31,Korea,Expenses,Audit-Independent,2095.61,2041.62,53.99,.00,1
2022-01-31,Korea,Expenses,Audit-IMCOM Int Review,1142.25,1112.82,29.43,.00,1
2022-01-31,Korea,Expenses,Other Expenses,5892.69,5769.07,123.62,.00,1
2022-01-31,Korea,Expenses,Total Operating Expenses,309380.69,303085.58,6295.11,.00,1
2022-01-31,Korea,Expenses,Net Operating Income/(Loss),714042.66,709997.47,4045.19,.00,1
2022-01-31,Korea,Net,Interest Revenue,6916.34,6745.44,170.90,.00,1
2022-01-31,Korea,Net,Net Income/(Loss),720959.00,716742.91,4216.09,.00,1
2022-01-31,Korea,Net,Distributions,720959.00,716742.91,4216.09,.00,1
2022-01-31,Korea,Net,After Distributions,.00,.00,.00,.00,1
2022-01-31,Japan,Revenue,Gaming Machine Revenue,1570598.25,112294.45,650460.05,807843.75,1
2022-01-31,Japan,Revenue,Total Revenue,1570598.25,112294.45,650460.05,807843.75,1
2022-01-31,Japan,Revenue,Gaming NAFI,1254568.20,21484.30,572067.20,661016.70,1
2022-01-31,Japan,Revenue,Total Direct Reimbursement,1254568.20,21484.30,572067.20,661016.70,1
2022-01-31,Japan,Revenue,Net Revenue,316030.05,90810.15,78392.85,146827.05,1
2022-01-31,Japan,Expenses,Compensation & Benefits,244714.97,19828.45,98240.88,126645.64,1
2022-01-31,Japan,Expenses,Depreciation Expense,119577.41,13193.68,44888.69,61495.04,1
2022-01-31,Japan,Expenses,Contractor Fees,.00,.00,.00,.00,1
2022-01-31,Japan,Expenses,Communications,2318.77,661.13,720.31,937.33,1
2022-01-31,Japan,Expenses,TDY,117.44,10.50,46.32,60.62,1
2022-01-31,Japan,Expenses,PCS,4950.88,.00,4950.87,.01,1
2022-01-31,Japan,Expenses,IT Expense & Maint,114481.71,10148.29,45353.74,58979.68,1
2022-01-31,Japan,Expenses,Machine Expense & Maint,3492.24,1139.65,1179.95,1172.64,1
2022-01-31,Japan,Expenses,Vehicle Expense,669.15,47.63,234.61,386.91,1
2022-01-31,Japan,Expenses,Training,1663.91,148.81,656.09,859.01,1
2022-01-31,Japan,Expenses,(Gain)/Loss on Disposals,.00,.00,.00,.00,1
2022-01-31,Japan,Expenses,Audit-Independent,3621.96,323.91,1428.17,1869.88,1
2022-01-31,Japan,Expenses,Audit-IMCOM Int Review,1974.22,176.55,778.46,1019.21,1
2022-01-31,Japan,Expenses,Other Expenses,8729.30,705.00,3121.16,4903.14,1
