Page,Loc #,Location,Month,Revenue,NAFI Amt,Annual Revenue,Annual NAFI,"	Latitude",Longitude
4,1127,Road House 400201,19-Jan,1372,1097.6,,,35.32059,138.86873
4,1127,Road House 400201,19-Feb,9119.45,7295.55,,,35.32059,138.86873
4,1127,Road House 400201,19-Mar,-9379.55,7480.8,,,35.32059,138.86873
4,1127,Road House 400201,19-May,7355,5884,,,35.32059,138.86873
4,1127,Road House 400201,19-Jun,3639.7,2995.5,,,35.32059,138.86873
4,1127,Road House 400201,19-Aug,21229.1,1928.8,,,35.32059,138.86873
4,1127,Road House 400201,19-Sep,-287,863.45,45665.05,37638.8,35.32059,138.86873
4,1127,Road House 400201,19-Oct,1810,1448,,,35.32059,138.86873
4,1127,Road House 400201,19-Nov,65,52,,,35.32059,138.86873
4,1127,Road House 400201,19-Dec,853,682.4,,,35.32059,138.86873
4,1127,Road House 400201,20-Jan,1453,1162.4,,,35.32059,138.86873
4,1127,Road House 400201,20-Feb,825,660,,,35.32059,138.86873
4,1127,Road House 400201,20-Mar,399.25,319.4,,,35.32059,138.86873
4,1127,Road House 400201,20-Jul,4244,3395.2,,,35.32059,138.86873
4,1127,Road House 400201,20-Aug,2505,2004,,,35.32059,138.86873
4,1127,Road House 400201,20-Sep,1685,1348,13839.25,11071.4,35.32059,138.86873
5,1097,Schwab BC,13-Oct,6180.69,4958,,,26.524612,128.044324
5,1097,Schwab BC,13-Nov,5129.75,4103.8,,,26.524612,128.044324
5,1097,Schwab BC,13-Dec,146.85,117.5,,,26.524612,128.044324
5,1097,Schwab BC,14-Jan,5289.73,4004,,,26.524612,128.044324
5,1097,Schwab BC,14-Feb,3041,2432.8,,,26.524612,128.044324
5,1097,Schwab BC,14-Mar,8440,6752,,,26.524612,128.044324
5,1097,Schwab BC,14-Apr,6883,5506.4,,,26.524612,128.044324
5,1097,Schwab BC,14-May,9080,7264,,,26.524612,128.044324
5,1097,Schwab BC,14-Jun,-599.15,588.3,,,26.524612,128.044324
5,1097,Schwab BC,14-Jul,3805.95,1977.15,,,26.524612,128.044324
5,1097,Schwab BC,14-Aug,5700,4560,,,26.524612,128.044324
5,1097,Schwab BC,14-Sep,4624.2,3699.35,57722.02,45963.3,26.524612,128.044324
5,1097,Schwab BC,14-Oct,1568,1254.4,,,26.524612,128.044324
5,1097,Schwab BC,14-Nov,4708.6,3766.9,,,26.524612,128.044324
5,1097,Schwab BC,14-Dec,1657.4,1325.9,,,26.524612,128.044324
5,1097,Schwab BC,15-Jan,1025.2,820.15,,,26.524612,128.044324
5,1097,Schwab BC,15-Feb,3208,2566.4,,,26.524612,128.044324
5,1097,Schwab BC,15-Mar,2144.95,1715.95,,,26.524612,128.044324
5,1097,Schwab BC,15-Apr,2960,2368,,,26.524612,128.044324
5,1097,Schwab BC,15-Jun,5248.3,4198.65,,,26.524612,128.044324
5,1097,Schwab BC,15-Jul,1337,1069.6,,,26.524612,128.044324
5,1097,Schwab BC,15-Aug,2432.8,1946.25,,,26.524612,128.044324
5,1097,Schwab BC,15-Sep,26290.25,21032.2,,,26.524612,128.044324
5,2394,Beach Head 400501,13-Oct,14667.81,12152.45,,,26.524612,128.044324
5,2394,Beach Head 400501,13-Nov,12430.25,9944.2,,,26.524612,128.044324
5,2394,Beach Head 400501,13-Dec,31218.75,24975,,,26.524612,128.044324
5,2394,Beach Head 400501,14-Jan,37935.14,25827.55,,,26.524612,128.044324
5,2394,Beach Head 400501,14-Feb,17453.9,13963.15,,,26.524612,128.044324
5,2394,Beach Head 400501,14-Mar,21660.05,17328.05,,,26.524612,128.044324
5,2394,Beach Head 400501,14-Apr,9157.1,8374.3,,,26.524612,128.044324
5,2394,Beach Head 400501,14-May,35056.3,26996.45,,,26.524612,128.044324
5,2394,Beach Head 400501,14-Jun,27320.6,21856.45,,,26.524612,128.044324
5,2394,Beach Head 400501,14-Jul,10540.3,8432.25,,,26.524612,128.044324
5,2394,Beach Head 400501,14-Aug,21771.5,18726.2,,,26.524612,128.044324
5,2394,Beach Head 400501,14-Sep,24952.5,18653,264164.2,207229.05,26.524612,128.044324
5,2394,Beach Head 400501,14-Oct,7804.85,9256.2,,,26.524612,128.044324
5,2394,Beach Head 400501,14-Nov,8296.2,8384.85,,,26.524612,128.044324
5,2394,Beach Head 400501,14-Dec,22006.8,12845.2,,,26.524612,128.044324
5,2394,Beach Head 400501,15-Jan,12004.45,10924.7,,,26.524612,128.044324
5,2394,Beach Head 400501,15-Feb,18324.85,13338.75,,,26.524612,128.044324
5,2394,Beach Head 400501,15-Mar,11526.1,9220.9,,,26.524612,128.044324
6,2394,Beach Head 400501,15-Apr,9893.75,7915,,,26.524612,128.044324
6,2394,Beach Head 400501,15-May,14280.55,11424.45,,,26.524612,128.044324
6,2394,Beach Head 400501,15-Jun,18915.75,15132.6,,,26.524612,128.044324
6,2394,Beach Head 400501,15-Jul,20672.3,16537.85,,,26.524612,128.044324
6,2394,Beach Head 400501,15-Aug,15024.35,12019.5,,,26.524612,128.044324
6,2394,Beach Head 400501,15-Sep,14573.65,11658.9,173323.6,138658.9,26.524612,128.044324
6,2394,Beach Head 400501,15-Oct,20490.8,16392.65,,,26.524612,128.044324
6,2394,Beach Head 400501,15-Nov,7101.55,5681.25,,,26.524612,128.044324
6,2394,Beach Head 400501,15-Dec,20276.35,16221.1,,,26.524612,128.044324
6,2394,Beach Head 400501,16-Jan,12439.35,9951.45,,,26.524612,128.044324
6,2394,Beach Head 400501,16-Feb,11301.5,9041.2,,,26.524612,128.044324
6,2394,Beach Head 400501,16-Mar,13003.75,10403,,,26.524612,128.044324
6,2394,Beach Head 400501,16-Apr,13636.4,10909.1,,,26.524612,128.044324
6,2394,Beach Head 400501,16-May,4322.6,3458.1,,,26.524612,128.044324
6,2394,Beach Head 400501,16-Jun,19510.4,15608.35,,,26.524612,128.044324
6,2394,Beach Head 400501,16-Jul,16216.65,12973.3,,,26.524612,128.044324
6,2394,Beach Head 400501,16-Aug,11220.95,8976.75,,,26.524612,128.044324
6,2394,Beach Head 400501,16-Sep,5416.3,4333.05,154936.6,123949.3,26.524612,128.044324
6,2394,Beach Head 400501,16-Oct,10089.1,8071.3,,,26.524612,128.044324
6,2394,Beach Head 400501,16-Nov,28527.15,22821.7,,,26.524612,128.044324
6,2394,Beach Head 400501,16-Dec,16559.1,13247.3,,,26.524612,128.044324
6,2394,Beach Head 400501,17-Jan,24005,19204,,,26.524612,128.044324
6,2394,Beach Head 400501,17-Feb,14748.25,11798.6,,,26.524612,128.044324
6,2394,Beach Head 400501,17-Mar,12836.25,10269,,,26.524612,128.044324
6,2394,Beach Head 400501,17-Apr,20462.2,16369.75,,,26.524612,128.044324
6,2394,Beach Head 400501,17-May,15941,12752.8,,,26.524612,128.044324
6,2394,Beach Head 400501,17-Jun,32239.45,25791.6,,,26.524612,128.044324
6,2394,Beach Head 400501,17-Jul,21695.35,17356.25,,,26.524612,128.044324
6,2394,Beach Head 400501,17-Aug,14146,11316.8,,,26.524612,128.044324
6,2394,Beach Head 400501,17-Sep,12585.4,10068.3,223834.25,179067.4,26.524612,128.044324
6,2394,Beach Head 400501,17-Oct,10680.05,8544.05,,,26.524612,128.044324
6,2394,Beach Head 400501,17-Nov,18282.9,14626.35,,,26.524612,128.044324
6,2394,Beach Head 400501,17-Dec,12489.5,9991.6,,,26.524612,128.044324
6,2394,Beach Head 400501,18-Jan,15501.3,12401,,,26.524612,128.044324
6,2394,Beach Head 400501,18-Feb,17954.5,14363.6,,,26.524612,128.044324
6,2394,Beach Head 400501,18-Mar,12777.8,10222.25,,,26.524612,128.044324
6,2394,Beach Head 400501,18-Apr,5966.1,4772.9,,,26.524612,128.044324
6,2394,Beach Head 400501,18-May,11231.1,8984.9,,,26.524612,128.044324
6,2394,Beach Head 400501,18-Jun,12014.5,9611.6,,,26.524612,128.044324
6,2394,Beach Head 400501,18-Jul,13155.75,10524.6,,,26.524612,128.044324
6,2394,Beach Head 400501,18-Aug,1947.1,1557.65,,,26.524612,128.044324
6,2394,Beach Head 400501,18-Sep,8962.15,7169.7,140962.75,112770.2,26.524612,128.044324
6,2394,Beach Head 400501,18-Oct,13447.1,10757.7,,,26.524612,128.044324
7,2394,Beach Head 400501,18-Nov,12596.15,10076.9,,,26.524612,128.044324
7,2394,Beach Head 400501,18-Dec,12357.95,9886.35,,,26.524612,128.044324
7,2394,Beach Head 400501,19-Jan,18802,15041.6,,,26.524612,128.044324
7,2394,Beach Head 400501,19-Feb,20762,16609.6,,,26.524612,128.044324
7,2394,Beach Head 400501,19-Mar,2957.75,7504.6,,,26.524612,128.044324
7,2394,Beach Head 400501,19-Apr,17396.85,13917.45,,,26.524612,128.044324
7,2394,Beach Head 400501,19-May,25699.3,20559.45,,,26.524612,128.044324
7,2394,Beach Head 400501,19-Jun,11141,3774.4,,,26.524612,128.044324
7,2394,Beach Head 400501,19-Jul,24923.85,19939.1,,,26.524612,128.044324
7,2394,Beach Head 400501,19-Aug,6142,4913.6,,,26.524612,128.044324
7,2394,Beach Head 400501,19-Sep,3527.5,2822,169753.45,135802.75,26.524612,128.044324
7,2394,Beach Head 400501,19-Oct,19162.2,15329.75,,,26.524612,128.044324
7,2394,Beach Head 400501,19-Nov,6101,4880.8,,,26.524612,128.044324
7,2394,Beach Head 400501,19-Dec,21069.25,16855.4,,,26.524612,128.044324
7,2394,Beach Head 400501,20-Jan,1341.3,4071.2,,,26.524612,128.044324
7,2394,Beach Head 400501,20-Feb,9119.1,4297.1,,,26.524612,128.044324
7,2394,Beach Head 400501,20-Mar,12710,10168,,,26.524612,128.044324
7,2394,Beach Head 400501,20-Apr,8,6.4,,,26.524612,128.044324
7,2394,Beach Head 400501,20-Jun,2608.15,2086.5,,,26.524612,128.044324
7,2394,Beach Head 400501,20-Jul,3727.5,2982,,,26.524612,128.044324
7,2394,Beach Head 400501,20-Aug,1547,1237.6,,,26.524612,128.044324
7,2394,Beach Head 400501,20-Sep,1849,1479.2,79242.5,63393.95,26.524612,128.044324
7,2394,FY14,,,,321886.22,253192.35,,
7,2394,FY15,,,,199613.85,159691.1,,
7,2394,FY16,,,,154936.6,123949.3,,
7,2394,FY17,,,,223834.25,179067.4,,
7,2394,FY18,,,,140962.75,112770.2,,
7,2394,FY19,,,,169753.45,135802.75,,
7,2394,FY20,,,,79242.5,63393.95,,
8,2238,Palms 400601,13-Oct,57190.08,47476.85,,,26.460467,127.915076
8,2238,Palms 400601,13-Nov,54715.05,42425.25,,,26.460467,127.915076
8,2238,Palms 400601,13-Dec,75632.7,60506.2,,,26.460467,127.915076
8,2238,Palms 400601,14-Jan,63626.65,47493,,,26.460467,127.915076
8,2238,Palms 400601,14-Feb,60378.1,49599.45,,,26.460467,127.915076
8,2238,Palms 400601,14-Mar,58302.4,45344.9,,,26.460467,127.915076
8,2238,Palms 400601,14-Apr,41472.95,34924.4,,,26.460467,127.915076
8,2238,Palms 400601,14-May,66540.76,53266.9,,,26.460467,127.915076
8,2238,Palms 400601,14-Jun,75015.49,59554.2,,,26.460467,127.915076
8,2238,Palms 400601,14-Jul,67241.95,52471.5,,,26.460467,127.915076
8,2238,Palms 400601,14-Aug,62174.1,49739.3,,,26.460467,127.915076
8,2238,Palms 400601,14-Sep,68412.95,54730.4,750703.18,597532.35,26.460467,127.915076
8,2238,Palms 400601,14-Oct,43226.75,34581.4,,,26.460467,127.915076
8,2238,Palms 400601,14-Nov,57463.23,49085.65,,,26.460467,127.915076
8,2238,Palms 400601,14-Dec,83067.02,63338.5,,,26.460467,127.915076
8,2238,Palms 400601,15-Jan,50118.3,40094.65,,,26.460467,127.915076
8,2238,Palms 400601,15-Feb,55515.6,44412.5,,,26.460467,127.915076
8,2238,Palms 400601,15-Mar,49421.4,39537.1,,,26.460467,127.915076
8,2238,Palms 400601,15-Apr,72853.8,58283.05,,,26.460467,127.915076
8,2238,Palms 400601,15-May,43588.55,34870.85,,,26.460467,127.915076
8,2238,Palms 400601,15-Jun,82653.35,66122.7,,,26.460467,127.915076
8,2238,Palms 400601,15-Jul,65741.95,52593.55,,,26.460467,127.915076
8,2238,Palms 400601,15-Aug,35482.55,28386,,,26.460467,127.915076
8,2238,Palms 400601,15-Sep,64961.55,51969.25,704094.05,563275.2,26.460467,127.915076
8,2238,Palms 400601,15-Oct,54212.55,43370.05,,,26.460467,127.915076
8,2238,Palms 400601,15-Nov,55085.4,44068.35,,,26.460467,127.915076
8,2238,Palms 400601,15-Dec,69228.85,55383.1,,,26.460467,127.915076
8,2238,Palms 400601,16-Jan,43037.95,34430.35,,,26.460467,127.915076
8,2238,Palms 400601,16-Feb,56174.85,44939.9,,,26.460467,127.915076
8,2238,Palms 400601,16-Mar,40266.6,32213.3,,,26.460467,127.915076
8,2238,Palms 400601,16-Apr,57813.25,47359,,,26.460467,127.915076
8,2238,Palms 400601,16-May,84364,67491.25,,,26.460467,127.915076
8,2238,Palms 400601,16-Jun,53972.9,43178.3,,,26.460467,127.915076
8,2238,Palms 400601,16-Jul,53742.45,42993.95,,,26.460467,127.915076
8,2238,Palms 400601,16-Aug,58781.9,47025.5,,,26.460467,127.915076
8,2238,Palms 400601,16-Sep,52303.75,41843,678984.45,544296.05,26.460467,127.915076
8,2238,Palms 400601,16-Oct,57236.65,45789.3,,,26.460467,127.915076
8,2238,Palms 400601,16-Nov,81461.1,65168.9,,,26.460467,127.915076
8,2238,Palms 400601,16-Dec,40275.7,32220.6,,,26.460467,127.915076
8,2238,Palms 400601,17-Jan,51910.05,41528.05,,,26.460467,127.915076
8,2238,Palms 400601,17-Feb,61218.05,48974.45,,,26.460467,127.915076
9,2238,Palms 400601,17-Mar,64865.4,51892.35,,,26.460467,127.915076
9,2238,Palms 400601,17-Apr,60078.45,48141.5,,,26.460467,127.915076
9,2238,Palms 400601,17-May,85610.5,68409.65,,,26.460467,127.915076
9,2238,Palms 400601,17-Jun,61723.05,49378.45,,,26.460467,127.915076
9,2238,Palms 400601,17-Jul,40582.65,32466.1,,,26.460467,127.915076
9,2238,Palms 400601,17-Aug,57368.95,45895.15,,,26.460467,127.915076
9,2238,Palms 400601,17-Sep,44352.55,35482.05,706683.1,565346.55,26.460467,127.915076
9,2238,Palms 400601,17-Oct,71183.45,56946.75,,,26.460467,127.915076
9,2238,Palms 400601,17-Nov,44480.45,35584.35,,,26.460467,127.915076
9,2238,Palms 400601,17-Dec,41246.65,32997.3,,,26.460467,127.915076
9,2238,Palms 400601,18-Jan,65322.4,52257.9,,,26.460467,127.915076
9,2238,Palms 400601,18-Feb,40157.8,32126.25,,,26.460467,127.915076
9,2238,Palms 400601,18-Mar,50828.55,40662.85,,,26.460467,127.915076
9,2238,Palms 400601,18-Apr,58959.45,47167.55,,,26.460467,127.915076
9,2238,Palms 400601,18-May,88870.2,71096.2,,,26.460467,127.915076
9,2238,Palms 400601,18-Jun,75208.1,60166.45,,,26.460467,127.915076
9,2238,Palms 400601,18-Jul,38660.3,30928.25,,,26.460467,127.915076
9,2238,Palms 400601,18-Aug,85671.55,68537.25,,,26.460467,127.915076
9,2238,Palms 400601,18-Sep,62313.25,49850.6,722902.15,578321.7,26.460467,127.915076
9,2238,Palms 400601,18-Oct,78514.2,62811.35,,,26.460467,127.915076
9,2238,Palms 400601,18-Nov,85348.75,68279,,,26.460467,127.915076
9,2238,Palms 400601,18-Dec,41580,33264,,,26.460467,127.915076
9,2238,Palms 400601,19-Jan,45021.58,46343.7,,,26.460467,127.915076
9,2238,Palms 400601,19-Feb,60779.51,49526.1,,,26.460467,127.915076
9,2238,Palms 400601,19-Mar,39772.87,33244.65,,,26.460467,127.915076
9,2238,Palms 400601,19-Apr,116985.7,93588.55,,,26.460467,127.915076
9,2238,Palms 400601,19-May,103312.4,82649.9,,,26.460467,127.915076
9,2238,Palms 400601,19-Jun,88837.79,58415,,,26.460467,127.915076
9,2238,Palms 400601,19-Jul,59623.75,47699,,,26.460467,127.915076
9,2238,Palms 400601,19-Aug,44180.75,35344.6,,,26.460467,127.915076
9,2238,Palms 400601,19-Sep,61057.25,51748,825014.55,662913.85,26.460467,127.915076
9,2238,Palms 400601,19-Oct,71557.7,54343.95,,,26.460467,127.915076
9,2238,Palms 400601,19-Nov,80832.6,64666.1,,,26.460467,127.915076
9,2238,Palms 400601,19-Dec,79397.6,63518.1,,,26.460467,127.915076
9,2238,Palms 400601,20-Jan,63009.4,53446.75,,,26.460467,127.915076
9,2238,Palms 400601,20-Feb,76106.3,65199.6,,,26.460467,127.915076
9,2238,Palms 400601,20-Mar,96776.95,70067.8,,,26.460467,127.915076
9,2238,Palms 400601,20-Apr,9865.1,7892.1,,,26.460467,127.915076
9,2238,Palms 400601,20-Jun,43477.05,34781.65,,,26.460467,127.915076
9,2238,Palms 400601,20-Jul,38464.35,30771.45,,,26.460467,127.915076
9,2238,Palms 400601,20-Sep,39743.4,31794.7,599230.45,476482.2,26.460467,127.915076
9,3169,Hansen TLF 400601,18-Sep,,,,,26.460467,127.915076
9,3169,Hansen TLF 400601,18-Oct,,,,,26.460467,127.915076
10,3169,Hansen TLF 400601,19-Sep,1029.3,823.45,1029.3,823.45,26.460467,127.915076
10,3169,Hansen TLF 400601,19-Oct,2437.2,1949.75,,,26.460467,127.915076
10,3169,Hansen TLF 400601,19-Dec,3472.05,2777.65,,,26.460467,127.915076
10,3169,Hansen TLF 400601,20-Jan,1249,999.2,,,26.460467,127.915076
10,3169,Hansen TLF 400601,20-Feb,946,756.8,,,26.460467,127.915076
10,3169,Hansen TLF 400601,20-Mar,4095,3276,,,26.460467,127.915076
10,3169,Hansen TLF 400601,20-Jul,3651,2920.8,,,26.460467,127.915076
10,3169,Hansen TLF 400601,20-Sep,15850.25,12680.2,,,26.460467,127.915076
11,1105,Hashmarks 400701,13-Oct,63259.14,49737.45,,,26.39194,127.85944
11,1105,Hashmarks 400701,13-Nov,36886.7,29509.35,,,26.39194,127.85944
11,1105,Hashmarks 400701,13-Dec,47664.55,38131.65,,,26.39194,127.85944
11,1105,Hashmarks 400701,14-Jan,50167.63,39509.2,,,26.39194,127.85944
11,1105,Hashmarks 400701,14-Feb,29882.35,30328.3,,,26.39194,127.85944
11,1105,Hashmarks 400701,14-Mar,42893.7,27892.55,,,26.39194,127.85944
11,1105,Hashmarks 400701,14-Apr,33502.3,26801.85,,,26.39194,127.85944
11,1105,Hashmarks 400701,14-May,74135.5,60429.25,,,26.39194,127.85944
11,1105,Hashmarks 400701,14-Jun,40724.75,31459,,,26.39194,127.85944
11,1105,Hashmarks 400701,14-Jul,37206,29764.8,,,26.39194,127.85944
11,1105,Hashmarks 400701,14-Aug,30079.7,26234.8,,,26.39194,127.85944
11,1105,Hashmarks 400701,14-Sep,45806.65,34474.3,532208.97,424272.5,26.39194,127.85944
11,1105,Hashmarks 400701,14-Oct,92996.25,74397,,,26.39194,127.85944
11,1105,Hashmarks 400701,14-Nov,55001.95,44991.6,,,26.39194,127.85944
11,1105,Hashmarks 400701,14-Dec,58138.65,45520.95,,,26.39194,127.85944
11,1105,Hashmarks 400701,15-Jan,33498.55,26798.85,,,26.39194,127.85944
11,1105,Hashmarks 400701,15-Feb,62035.75,49628.6,,,26.39194,127.85944
11,1105,Hashmarks 400701,15-Mar,47798.8,38239.05,,,26.39194,127.85944
11,1105,Hashmarks 400701,15-Apr,55716.4,44573.1,,,26.39194,127.85944
11,1105,Hashmarks 400701,15-May,27379.45,21903.55,,,26.39194,127.85944
11,1105,Hashmarks 400701,15-Jun,47842.7,38274.15,,,26.39194,127.85944
11,1105,Hashmarks 400701,15-Jul,31747,25397.6,,,26.39194,127.85944
11,1105,Hashmarks 400701,15-Aug,44131.85,35305.45,,,26.39194,127.85944
11,1105,Hashmarks 400701,15-Sep,35665.2,28532.15,591952.55,473562.05,26.39194,127.85944
11,1105,Hashmarks 400701,15-Oct,28600.15,22880.1,,,26.39194,127.85944
11,1105,Hashmarks 400701,15-Nov,35578.85,28463.1,,,26.39194,127.85944
11,1105,Hashmarks 400701,15-Dec,62398.75,49919,,,26.39194,127.85944
11,1105,Hashmarks 400701,16-Jan,53110.35,42488.3,,,26.39194,127.85944
11,1105,Hashmarks 400701,16-Feb,14177.45,11341.95,,,26.39194,127.85944
11,1105,Hashmarks 400701,16-Mar,48763.2,39010.55,,,26.39194,127.85944
11,1105,Hashmarks 400701,16-Apr,51781.8,41425.45,,,26.39194,127.85944
11,1105,Hashmarks 400701,16-May,54015.35,43212.25,,,26.39194,127.85944
11,1105,Hashmarks 400701,16-Jun,74269.05,59415.25,,,26.39194,127.85944
11,1105,Hashmarks 400701,16-Jul,54992.5,43994,,,26.39194,127.85944
11,1105,Hashmarks 400701,16-Aug,49898.95,39919.15,,,26.39194,127.85944
11,1105,Hashmarks 400701,16-Sep,39445.75,31556.6,567032.15,453625.7,26.39194,127.85944
11,1105,Hashmarks 400701,16-Dec,51149.75,40919.8,,,26.39194,127.85944
11,1105,Hashmarks 400701,17-Jan,32500.05,26000,,,26.39194,127.85944
11,1105,Hashmarks 400701,17-Feb,40012.75,32010.2,,,26.39194,127.85944
11,1105,Hashmarks 400701,17-Mar,60901.7,48721.35,,,26.39194,127.85944
12,1105,Hashmarks 400701,17-Apr,44683.45,35746.75,,,26.39194,127.85944
12,1105,Hashmarks 400701,17-May,38767.55,31014.05,,,26.39194,127.85944
12,1105,Hashmarks 400701,17-Jun,48988.15,39190.5,,,26.39194,127.85944
12,1105,Hashmarks 400701,17-Jul,30122.6,24098.05,,,26.39194,127.85944
12,1105,Hashmarks 400701,17-Aug,41906.2,33524.95,,,26.39194,127.85944
12,1105,Hashmarks 400701,17-Sep,54739.15,43791.3,443771.35,355016.95,26.39194,127.85944
12,1105,Hashmarks 400701,17-Oct,22605.75,18084.6,,,26.39194,127.85944
12,1105,Hashmarks 400701,17-Nov,42069.2,33655.35,,,26.39194,127.85944
12,1105,Hashmarks 400701,17-Dec,49937.5,39950,,,26.39194,127.85944
12,1105,Hashmarks 400701,18-Jan,27337.15,21869.7,,,26.39194,127.85944
12,1105,Hashmarks 400701,18-Feb,58531.65,46825.3,,,26.39194,127.85944
12,1105,Hashmarks 400701,18-Mar,64470.1,51576.05,,,26.39194,127.85944
12,1105,Hashmarks 400701,18-Apr,48581.9,38865.55,,,26.39194,127.85944
12,1105,Hashmarks 400701,18-May,33997.4,27197.95,,,26.39194,127.85944
12,1105,Hashmarks 400701,18-Jun,42932.2,34345.75,,,26.39194,127.85944
12,1105,Hashmarks 400701,18-Jul,11936.65,9549.3,,,26.39194,127.85944
12,1105,Hashmarks 400701,18-Aug,24119.8,19295.85,,,26.39194,127.85944
12,1105,Hashmarks 400701,18-Sep,16373.15,13098.5,442892.45,354313.9,26.39194,127.85944
12,1105,Hashmarks 400701,18-Oct,22272.4,17817.9,,,26.39194,127.85944
12,1105,Hashmarks 400701,18-Nov,3087.85,2470.3,,,26.39194,127.85944
12,1105,Hashmarks 400701,18-Dec,7024,5619.2,,,26.39194,127.85944
12,1105,Hashmarks 400701,19-Jan,11222.55,8978.05,,,26.39194,127.85944
12,1105,Hashmarks 400701,19-Feb,34768.6,27814.9,,,26.39194,127.85944
12,1105,Hashmarks 400701,19-Mar,49238.35,39390.7,,,26.39194,127.85944
12,1105,Hashmarks 400701,19-Apr,29907.9,23926.3,,,26.39194,127.85944
